filepath,filename,face_shape,split
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t119.jpg,ovale t119.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t43.jpg,ovale t43.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t58.jpg,ovale t58.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t24.jpg,ovale t24.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t1.jpg,ovale t1.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t83.jpg,ovale t83.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t128.jpg,ovale t128.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t54.jpg,ovale t54.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t115.jpg,ovale t115.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t2.jpg,ovale t2.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t36.jpg,ovale t36.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t71.jpg,ovale t71.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t33.jpg,ovale t33.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t116.jpg,ovale t116.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t91.jpg,ovale t91.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t13.jpg,ovale t13.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t120.jpg,ovale t120.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t66.jpg,ovale t66.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t59.jpg,ovale t59.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t79.jpg,ovale t79.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t65.jpg,ovale t65.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t20.jpg,ovale t20.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t46.jpg,ovale t46.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t129.jpg,ovale t129.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t3.jpg,ovale t3.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t67.jpg,ovale t67.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t82.jpg,ovale t82.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t81.jpg,ovale t81.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t127.jpg,ovale t127.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t125.jpg,ovale t125.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t62.jpg,ovale t62.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t124.jpg,ovale t124.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t47.jpg,ovale t47.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t90.jpg,ovale t90.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t31.jpg,ovale t31.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t94.jpg,ovale t94.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t25.jpg,ovale t25.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t102.jpg,ovale t102.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t37.jpg,ovale t37.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t123.jpg,ovale t123.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t63.jpg,ovale t63.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t89.jpg,ovale t89.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t53.jpg,ovale t53.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t60.jpg,ovale t60.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t86.jpg,ovale t86.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t78.jpg,ovale t78.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t114.jpg,ovale t114.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t26.jpg,ovale t26.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t52.jpg,ovale t52.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t55.jpg,ovale t55.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t121.jpg,ovale t121.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t109.jpg,ovale t109.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t105.jpg,ovale t105.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t92.jpg,ovale t92.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t126.jpg,ovale t126.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t16.jpg,ovale t16.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t7.jpg,ovale t7.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t68.jpg,ovale t68.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t9.jpg,ovale t9.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t5.jpg,ovale t5.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t88.jpg,ovale t88.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t4.jpg,ovale t4.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t70.jpg,ovale t70.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t28.jpg,ovale t28.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t19.jpg,ovale t19.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t95.jpg,ovale t95.jpg,ovale,test
